Text,Confidence
Hlwzu,0.023024445685137084
FFi0gzi,0.153368978644401
Im,0.4017716108647393
EFWIH,0.14295988159629097
Lgwm,0.11445357650518417
SJXEPH,0.0398206190909586
|iszq,0.07547762184732683
CEPD,0.17292144894599915
NOEPD,0.5523014174454509
GVSEF,0.05788700546204497
Liz,0.2193046680740207
LTm,0.0265291830114748
DWwH,0.0683298334479332
WH,0.06625291372563677
"""8S5ZFY",0.030346796695803778
M,0.5735884537338656
NCNDGV,0.09282566531849423
I,0.5243046592725342
MIL,0.25222062904521686
Hp(an,0.05121481016099952
FsSup,0.1298590402054991
SISOUYP,0.08438568290229585
CZTH,0.03018108569085598
IZ ,0.024480861478469427
IlIU,0.11650919169187546
KNVSUM_,0.0188355086082209
Ih,0.0676368683352846
KYTEU,0.06923561403309472
D@,0.06622694487990458
64 DNV,0.15997149167779187
WKEpw,0.21563035769024014
INIdc,0.010826253739856117
